0,0,0
0, 0.5 ,
0, ,0.5 
0.02, 0.5005 ,
0.02, ,0.4995 
0.632762, ,0.48468 
0.632781, 0.51632 ,
2.88796, ,0.437731 
2.90712, 0.583747 ,
5.41055, 0.675502 ,
7.94701, ,0.372112 
8.22959, 0.80383 ,
10.0841, ,0.360011 
11.1114, 0.965979 ,
12.2918, ,0.357734 
14.3743, ,0.366329 
15.7419, ,0.378689 
17.1409, 1.41331 ,
17.1974, ,0.398882 
18.7199, ,0.429372 
18.9485, 1.571 ,
19.9827, ,0.463571 
20.7339, 1.73006 ,
21.234, ,0.507216 
22.2981, 1.86523 ,
22.494, ,0.563032 
23.711, 1.97645 ,
23.744, ,0.632546 
25.0172, ,0.720494 
25.0421, 2.06399 ,
26.4771, 2.12961 ,
26.7891, ,0.87644 
27.9669, 2.15445 ,
29.6824, ,1.221 
29.8896, 2.1038 ,
30.3197, ,1.30952 
31.3652, ,1.46 
31.7087, 1.96363 ,
32.3024, ,1.59593 
33.0731, 1.80719 ,
33.3053, ,1.73618 
34.1881, 1.65686 ,
34.3791, ,1.87256 
35.2884, 1.49856 ,
35.5754, ,1.99831 
36.5047, 1.32295 ,
37.1198, ,2.10786 
38.0415, 1.11503 ,
39.3819, ,2.15164 
40.6077, ,2.12329 
41.2743, 0.772066 ,
41.8853, ,2.06313 
42.5002, 0.677826 ,
43.4511, ,1.95854 
44.1244, 0.579258 ,
45.1195, ,1.82364 
45.7243, 0.506454 ,
47.0252, ,1.6562 
47.3515, 0.451979 ,
48.9617, 0.413245 ,
49.4735, ,1.44059 
51.1588, 0.379185 ,
52.2795, ,1.21191 
54.0082, 0.359178 ,
57.3237, 0.361547 ,
58.2355, 0.366431 ,
60.6103, ,0.714117 
63.7081, ,0.594357 
64.495, 0.445428 ,
66.4935, ,0.511066 
67.2585, 0.507374 ,
69.8632, 0.583523 ,
69.9475, ,0.435145 
72.2475, 0.670518 ,
73.8315, ,0.381029 
74.9915, 0.793987 ,
77.3843, ,0.358327 
77.8681, 0.95379 ,
79.1816, ,0.357031 
81.2352, ,0.365073 
82.6291, ,0.377302 
84.0865, ,0.397125 
84.4465, 1.44388 ,
85.4545, ,0.423619 
86.4121, 1.61711 ,
86.7757, ,0.458015 
88.0563, 1.76357 ,
88.094, ,0.502857 
89.3716, ,0.55855 
89.489, 1.88611 ,
90.658, ,0.62937 
90.9938, 2.00152 ,
91.9861, ,0.720976 
92.434, 2.08949 ,
93.5459, ,0.856476 
93.8753, 2.14428 ,
95.38, 2.15346 ,
95.9381, ,1.12816 
97.1472, ,1.29167 
98.0077, ,1.41494 
98.9437, ,1.5513 
99.1227, 1.91703 ,
99.969, ,1.69743 
100.461, 1.75205 ,
101.01, ,1.83481 
101.655, 1.58485 ,
102.181, ,1.96671 
102.858, 1.40983 ,
103.64, ,2.08556 
104.213, 1.21837 ,
105.802, 1.01664 ,
106.226, ,2.15446 
106.449, 0.943522 ,
107.962, ,2.10912 
109.192, ,2.04357 
110.246, 0.626159 ,
110.652, ,1.94097 
111.85, 0.541218 ,
112.309, ,1.80448 
113.415, 0.479307 ,
114.167, ,1.64031 
115.143, 0.429875 ,
116.388, ,1.44465 
117.003, 0.393732 ,
118.832, 0.371506 ,
119.649, ,1.18086 
121.818, 0.357032 ,
123.912, 0.359846 ,
125.992, ,0.787237 
126.94, 0.380225 ,
129.16, ,0.64841 
130.847, 0.434035 ,
132.224, ,0.544814 
133.5, 0.489409 ,
135.599, ,0.460282 
136.122, 0.561125 ,
138.655, 0.648791 ,
139.672, ,0.39316 
141.332, 0.763848 ,
144.159, 0.913853 ,
145.211, ,0.356532 
147.572, ,0.361219 
148.914, ,0.370437 
150.471, ,0.388227 
150.598, 1.37575 ,
151.893, ,0.412434 
152.744, 1.56193 ,
153.185, ,0.442476 
154.47, 1.71614 ,
154.528, ,0.483558 
155.823, ,0.534834 
155.942, 1.8447 ,
157.092, ,0.598567 
157.474, 1.96776 ,
158.368, ,0.678865 
158.922, 2.06469 ,
159.773, ,0.78919 
160.345, 2.13098 ,
161.717, ,0.985079 
161.835, 2.15736 ,
162.868, ,1.12506 
163.592, 2.11706 ,
163.881, ,1.26104 
164.975, ,1.41728 
165.348, 1.99241 ,
165.887, ,1.55026 
166.747, 1.83885 ,
166.882, ,1.69232 
167.825, 1.69646 ,
167.932, ,1.83152 
168.883, 1.54541 ,
169.073, ,1.96126 
170.037, 1.3773 ,
170.442, ,2.0767 
171.44, 1.18158 ,
173.456, 0.93783 ,
173.877, 0.893582 ,
174.031, ,2.14063 
175.568, ,2.07779 
175.894, 0.71473 ,
176.956, ,1.98998 
177.622, 0.60109 ,
178.571, ,1.86383 
179.221, 0.52254 ,
180.397, ,1.70527 
180.841, 0.463731 ,
182.458, 0.421241 ,
182.625, ,1.50719 
184.438, 0.386343 ,
185.131, ,1.29553 
187.228, 0.361172 ,
188.943, 0.356589 ,
188.972, ,1.01472 
191.652, 0.363002 ,
192.277, ,0.821223 
193.175, 0.373381 ,
196.206, ,0.644882 
197.89, 0.435238 ,
198.86, ,0.554245 
200.47, 0.489347 ,
202.175, ,0.468252 
203.055, 0.559999 ,
205.607, 0.648151 ,
205.972, ,0.401403 
208.174, 0.757927 ,
211.125, 0.913851 ,
213.736, ,0.357729 
215.104, ,0.364126 
216.766, ,0.379166 
217.782, 1.39442 ,
218.112, ,0.398302 
219.616, ,0.428629 
219.743, 1.56532 ,
220.904, ,0.463724 
221.545, 1.72643 ,
222.132, ,0.506868 
223.127, 1.8639 ,
223.384, ,0.562557 
224.553, 1.97705 ,
224.63, ,0.63207 
225.893, 2.06606 ,
225.897, ,0.719858 
227.218, 2.12886 ,
227.27, ,0.837377 
228.633, 2.15811 ,
230.498, 2.12095 ,
230.915, ,1.27093 
231.506, 2.06119 ,
231.999, ,1.42617 
233.002, ,1.57264 
233.065, 1.91601 ,
234.049, ,1.72107 
234.413, 1.74867 ,
235.107, ,1.85842 
235.629, 1.57753 ,
236.329, ,1.99101 
236.854, 1.39881 ,
237.971, ,2.11094 
238.21, 1.20765 ,
239.511, ,2.15619 
239.783, 1.00888 ,
240.634, ,2.1504 
242.076, ,2.1024 
242.764, 0.72112 ,
243.395, ,2.02741 
244.341, 0.614429 ,
244.961, ,1.91194 
245.866, 0.535667 ,
246.677, ,1.7665 
247.472, 0.473628 ,
248.653, ,1.59046 
249.162, 0.426479 ,
250.848, 0.393848 ,
251.219, ,1.36752 
253.171, 0.367019 ,
254.405, ,1.11943 
256.746, 0.356275 ,
258.175, ,0.878472 
258.428, 0.361495 ,
261.884, 0.39035 ,
262.174, ,0.684172 
263.238, 0.408243 ,
265.845, ,0.553228 
266.264, 0.462255 ,
268.974, 0.528627 ,
269.145, ,0.467693 
271.28, 0.600378 ,
272.683, ,0.404433 
273.87, 0.70012 ,
276.508, 0.825378 ,
279.909, 1.02673 ,
280.4, ,0.356301 
282.538, ,0.366788 
282.636, 1.22268 ,
283.949, ,0.381055 
285.188, 1.43186 ,
285.384, ,0.402863 
286.868, ,0.434776 
287.017, 1.5929 ,
288.138, ,0.471395 
288.784, 1.75102 ,
289.364, ,0.516656 
290.344, 1.88553 ,
290.61, ,0.574764 
291.759, 1.99558 ,
291.854, ,0.647409 
293.098, 2.08093 ,
293.132, ,0.739816 
294.433, 2.13894 ,
294.549, ,0.866656 
295.888, 2.16051 ,
297.645, ,1.23752 
297.95, 2.09791 ,
298.268, ,1.32512 
299.314, ,1.4771 
299.581, 1.96616 ,
